[2024-07-30 10:31:02] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-07-30 10:31:04] [class-ss-setup-task.php:150] Adding file /Users/alessandropalermo/Local Sites/piccoli-passi-grandi-sogni/app/public/wp-content/uploads/eb-style/eb-style-99.min.css to queue as: http://piccoli-passi-grandi-sogni.local/wp-content/uploads/eb-style/eb-style-99.min.css
[2024-07-30 10:31:04] [class-ss-setup-task.php:150] Adding file /Users/alessandropalermo/Local Sites/piccoli-passi-grandi-sogni/app/public/wp-content/uploads/eb-style/eb-style-89.min.css to queue as: http://piccoli-passi-grandi-sogni.local/wp-content/uploads/eb-style/eb-style-89.min.css
[2024-07-30 10:31:04] [class-ss-setup-task.php:150] Adding file /Users/alessandropalermo/Local Sites/piccoli-passi-grandi-sogni/app/public/wp-content/uploads/eb-style/eb-style-4329.min.css to queue as: http://piccoli-passi-grandi-sogni.local/wp-content/uploads/eb-style/eb-style-4329.min.css
[2024-07-30 10:31:04] [class-ss-setup-task.php:150] Adding file /Users/alessandropalermo/Local Sites/piccoli-passi-grandi-sogni/app/public/wp-content/uploads/eb-style/eb-style-393.min.css to queue as: http://piccoli-passi-grandi-sogni.local/wp-content/uploads/eb-style/eb-style-393.min.css
[2024-07-30 10:31:04] [class-ss-setup-task.php:150] Adding file /Users/alessandropalermo/Local Sites/piccoli-passi-grandi-sogni/app/public/wp-content/uploads/eb-style/eb-style-13.min.css to queue as: http://piccoli-passi-grandi-sogni.local/wp-content/uploads/eb-style/eb-style-13.min.css
[2024-07-30 10:31:04] [class-ss-setup-task.php:150] Adding file /Users/alessandropalermo/Local Sites/piccoli-passi-grandi-sogni/app/public/wp-content/uploads/eb-style/eb-style-71.min.css to queue as: http://piccoli-passi-grandi-sogni.local/wp-content/uploads/eb-style/eb-style-71.min.css
[2024-07-30 10:31:04] [class-ss-setup-task.php:150] Adding file /Users/alessandropalermo/Local Sites/piccoli-passi-grandi-sogni/app/public/wp-content/uploads/eb-style/eb-style-6623.min.css to queue as: http://piccoli-passi-grandi-sogni.local/wp-content/uploads/eb-style/eb-style-6623.min.css
[2024-07-30 10:31:04] [class-ss-setup-task.php:150] Adding file /Users/alessandropalermo/Local Sites/piccoli-passi-grandi-sogni/app/public/wp-content/uploads/eb-style/eb-style-5833.min.css to queue as: http://piccoli-passi-grandi-sogni.local/wp-content/uploads/eb-style/eb-style-5833.min.css
[2024-07-30 10:31:04] [class-ss-setup-task.php:150] Adding file /Users/alessandropalermo/Local Sites/piccoli-passi-grandi-sogni/app/public/wp-content/uploads/eb-style/eb-style-69.min.css to queue as: http://piccoli-passi-grandi-sogni.local/wp-content/uploads/eb-style/eb-style-69.min.css
[2024-07-30 10:31:04] [class-ss-setup-task.php:150] Adding file /Users/alessandropalermo/Local Sites/piccoli-passi-grandi-sogni/app/public/wp-content/uploads/eb-style/eb-style-4638.min.css to queue as: http://piccoli-passi-grandi-sogni.local/wp-content/uploads/eb-style/eb-style-4638.min.css
[2024-07-30 10:31:04] [class-ss-setup-task.php:150] Adding file /Users/alessandropalermo/Local Sites/piccoli-passi-grandi-sogni/app/public/wp-content/uploads/eb-style/eb-style-103.min.css to queue as: http://piccoli-passi-grandi-sogni.local/wp-content/uploads/eb-style/eb-style-103.min.css
[2024-07-30 10:31:04] [class-ss-setup-task.php:150] Adding file /Users/alessandropalermo/Local Sites/piccoli-passi-grandi-sogni/app/public/wp-content/uploads/eb-style/eb-style-4394.min.css to queue as: http://piccoli-passi-grandi-sogni.local/wp-content/uploads/eb-style/eb-style-4394.min.css
[2024-07-30 10:31:04] [class-ss-setup-task.php:150] Adding file /Users/alessandropalermo/Local Sites/piccoli-passi-grandi-sogni/app/public/wp-content/uploads/eb-style/eb-style-6212.min.css to queue as: http://piccoli-passi-grandi-sogni.local/wp-content/uploads/eb-style/eb-style-6212.min.css
[2024-07-30 10:31:04] [class-ss-setup-task.php:150] Adding file /Users/alessandropalermo/Local Sites/piccoli-passi-grandi-sogni/app/public/wp-content/uploads/eb-style/eb-style-5101.min.css to queue as: http://piccoli-passi-grandi-sogni.local/wp-content/uploads/eb-style/eb-style-5101.min.css
[2024-07-30 10:31:04] [class-ss-setup-task.php:150] Adding file /Users/alessandropalermo/Local Sites/piccoli-passi-grandi-sogni/app/public/wp-content/uploads/eb-style/eb-style-1572.min.css to queue as: http://piccoli-passi-grandi-sogni.local/wp-content/uploads/eb-style/eb-style-1572.min.css
[2024-07-30 10:31:04] [class-ss-setup-task.php:150] Adding file /Users/alessandropalermo/Local Sites/piccoli-passi-grandi-sogni/app/public/wp-content/uploads/eb-style/eb-style-4271.min.css to queue as: http://piccoli-passi-grandi-sogni.local/wp-content/uploads/eb-style/eb-style-4271.min.css
[2024-07-30 10:31:04] [class-ss-setup-task.php:150] Adding file /Users/alessandropalermo/Local Sites/piccoli-passi-grandi-sogni/app/public/wp-content/uploads/eb-style/eb-style-101.min.css to queue as: http://piccoli-passi-grandi-sogni.local/wp-content/uploads/eb-style/eb-style-101.min.css
[2024-07-30 10:31:04] [class-ss-setup-task.php:150] Adding file /Users/alessandropalermo/Local Sites/piccoli-passi-grandi-sogni/app/public/wp-content/uploads/eb-style/eb-style-5380.min.css to queue as: http://piccoli-passi-grandi-sogni.local/wp-content/uploads/eb-style/eb-style-5380.min.css
[2024-07-30 10:31:04] [class-ss-setup-task.php:150] Adding file /Users/alessandropalermo/Local Sites/piccoli-passi-grandi-sogni/app/public/wp-content/uploads/eb-style/eb-style-2576.min.css to queue as: http://piccoli-passi-grandi-sogni.local/wp-content/uploads/eb-style/eb-style-2576.min.css
[2024-07-30 10:31:04] [class-ss-setup-task.php:150] Adding file /Users/alessandropalermo/Local Sites/piccoli-passi-grandi-sogni/app/public/wp-content/uploads/eb-style/eb-style-126.min.css to queue as: http://piccoli-passi-grandi-sogni.local/wp-content/uploads/eb-style/eb-style-126.min.css
[2024-07-30 10:31:04] [class-ss-setup-task.php:150] Adding file /Users/alessandropalermo/Local Sites/piccoli-passi-grandi-sogni/app/public/wp-content/uploads/eb-style/eb-style-250.min.css to queue as: http://piccoli-passi-grandi-sogni.local/wp-content/uploads/eb-style/eb-style-250.min.css
[2024-07-30 10:31:04] [class-ss-setup-task.php:150] Adding file /Users/alessandropalermo/Local Sites/piccoli-passi-grandi-sogni/app/public/wp-content/uploads/eb-style/eb-style-6825.min.css to queue as: http://piccoli-passi-grandi-sogni.local/wp-content/uploads/eb-style/eb-style-6825.min.css
[2024-07-30 10:31:04] [class-ss-setup-task.php:150] Adding file /Users/alessandropalermo/Local Sites/piccoli-passi-grandi-sogni/app/public/wp-content/uploads/eb-style/eb-style-97.min.css to queue as: http://piccoli-passi-grandi-sogni.local/wp-content/uploads/eb-style/eb-style-97.min.css
[2024-07-30 10:31:04] [class-ss-setup-task.php:150] Adding file /Users/alessandropalermo/Local Sites/piccoli-passi-grandi-sogni/app/public/wp-content/uploads/eb-style/eb-style-5338.min.css to queue as: http://piccoli-passi-grandi-sogni.local/wp-content/uploads/eb-style/eb-style-5338.min.css
